,Age,Gender,PC+TV on weekdays,PC+TV on weekends,ScreenTime,Screen_time_exposure,Exercise
0,14.0,Male,2.0,10.0,7.201916336532347,High,2.0
1,69.0,Female,3.0,9.0,6.5080741993125795,High,3.0
2,39.0,Female,3.0,9.0,11.0067963722732,High,2.0
3,46.0,Male,2.0,7.0,6.0483223945583475,High,1.0
4,67.0,Female,3.0,2.0,39.63217166214937,High,2.0
5,19.0,Female,1.0,5.0,19.657006096633786,Low,1.0
6,35.0,Male,1.0,2.0,47.02251171376187,Low,3.0
7,38.0,Female,1.0,3.0,4.490195619945336,Low,3.0
8,67.0,Male,3.0,8.0,19.86123617599135,High,3.0
9,66.0,Female,3.0,7.0,10.10815856358488,High,1.0
10,8.0,Male,4.0,4.0,71.70984497073589,High,2.0
11,37.0,Female,3.0,6.0,7.757590538087925,High,1.0
12,56.0,Male,3.0,2.0,7.8181382192727344,High,1.0
13,38.0,Male,4.0,6.0,6.023424234481793,High,3.0
14,23.0,Female,3.0,10.0,24.323179922141065,High,1.0
15,59.0,Male,3.0,10.0,5.0,High,3.0
16,6.0,Female,1.0,3.0,1.5714285714285714,Low,3.0
17,26.0,Female,2.0,2.0,2.0,Low,2.0
18,59.0,Male,2.0,8.0,3.7142857142857144,High,1.0
19,65.0,Male,4.0,5.0,4.285714285714286,High,2.0
20,60.0,Male,2.0,5.0,2.8571428571428568,High,2.0
21,66.0,Male,4.0,4.0,4.0,High,3.0
22,19.0,Female,3.0,9.0,4.7142857142857135,High,3.0
23,18.0,Female,3.0,3.0,3.0,High,2.0
24,7.0,Male,1.0,4.0,1.8571428571428572,Low,1.0
25,40.0,Male,3.0,5.0,3.571428571428571,High,1.0
26,39.0,Female,4.0,4.0,4.0,High,3.0
27,70.0,Female,3.0,4.0,3.2857142857142856,High,1.0
28,22.0,Male,1.0,7.0,2.7142857142857144,High,1.0
29,44.0,Male,1.0,3.0,1.5714285714285714,Low,2.0
30,29.0,Male,4.0,9.0,5.428571428571429,High,2.0
31,12.0,Male,3.0,8.0,4.428571428571429,High,2.0
32,6.0,Male,2.0,9.0,4.0,High,1.0
33,51.0,Male,3.0,3.0,3.0,High,1.0
34,31.0,Female,3.0,8.0,4.428571428571429,High,3.0
35,41.0,Female,1.0,8.0,3.0,High,3.0
36,33.0,Male,3.0,7.0,4.142857142857142,High,3.0
37,55.0,Male,3.0,5.0,3.571428571428571,High,3.0
38,7.0,Female,4.0,3.0,3.7142857142857144,High,1.0
39,60.0,Male,2.0,6.0,3.142857142857143,High,2.0
40,23.0,Male,3.0,10.0,5.0,High,3.0
41,8.0,Female,3.0,6.0,3.8571428571428568,High,3.0
42,15.0,Female,4.0,3.0,3.7142857142857144,High,3.0
43,66.0,Female,2.0,10.0,4.285714285714286,High,1.0
44,44.0,Male,2.0,2.0,2.0,Low,3.0
45,12.0,Male,2.0,7.0,3.428571428571429,High,1.0
46,25.0,Female,4.0,6.0,4.571428571428571,High,1.0
47,28.0,Male,4.0,7.0,4.857142857142858,High,3.0
48,10.0,Female,3.0,5.0,3.571428571428571,High,3.0
49,61.0,Male,4.0,5.0,4.285714285714286,High,1.0
50,32.0,Male,3.0,3.0,3.0,High,3.0
51,10.0,Female,3.0,4.0,3.2857142857142856,High,1.0
52,41.0,Female,3.0,9.0,4.7142857142857135,High,3.0
53,45.0,Male,4.0,5.0,4.285714285714286,High,1.0
54,22.0,Female,4.0,7.0,4.857142857142858,High,1.0
55,28.0,Male,3.0,5.0,3.571428571428571,High,2.0
56,53.0,Female,4.0,9.0,5.428571428571429,High,2.0
57,21.0,Male,2.0,10.0,4.285714285714286,High,1.0
58,52.0,Male,2.0,6.0,3.142857142857143,High,1.0
59,35.0,Male,4.0,10.0,5.7142857142857135,High,1.0
60,49.0,Female,4.0,10.0,5.7142857142857135,High,1.0
61,57.0,Male,4.0,2.0,3.428571428571429,High,2.0
62,57.0,Male,1.0,9.0,3.2857142857142856,High,2.0
63,52.0,Female,2.0,3.0,2.2857142857142856,Low,1.0
64,33.0,Male,3.0,4.0,3.2857142857142856,High,2.0
65,65.0,Female,2.0,9.0,4.0,High,2.0
66,16.0,Male,2.0,4.0,2.571428571428571,High,3.0
67,30.0,Female,1.0,5.0,2.142857142857143,Low,2.0
68,63.0,Male,3.0,4.0,3.2857142857142856,High,2.0
69,13.0,Female,2.0,3.0,2.2857142857142856,Low,1.0
70,55.0,Male,3.0,5.0,3.571428571428571,High,1.0
71,24.0,Male,1.0,8.0,3.0,High,3.0
72,39.0,Male,3.0,9.0,4.7142857142857135,High,3.0
73,22.0,Female,2.0,8.0,3.7142857142857144,High,3.0
74,64.0,Male,1.0,2.0,1.2857142857142856,Low,2.0
75,13.0,Female,4.0,10.0,5.7142857142857135,High,1.0
76,26.0,Male,1.0,4.0,1.8571428571428572,Low,2.0
77,6.0,Male,3.0,10.0,5.0,High,3.0
78,7.0,Female,4.0,5.0,4.285714285714286,High,2.0
79,28.0,Female,3.0,3.0,3.0,High,1.0
80,13.0,Female,2.0,8.0,3.7142857142857144,High,2.0
81,20.0,Male,2.0,7.0,3.428571428571429,High,3.0
