,Age,Gender,PC+TV on weekdays,PC+TV on weekends,ScreenTime,Screen_time_exposure,Exercise,Sleeptime,Sleeping_pattern
0,14.0,Male,2.0,10.0,4.285714285714286,High,2.0,6.714285714285714,Normal
1,69.0,Female,3.0,9.0,4.7142857142857135,High,3.0,7.2857142857142865,Normal
2,39.0,Female,3.0,9.0,4.7142857142857135,High,2.0,6.2857142857142865,Normal
3,46.0,Male,2.0,7.0,3.428571428571429,High,1.0,6.571428571428571,Normal
4,67.0,Female,3.0,2.0,2.7142857142857144,High,2.0,8.285714285714285,Normal
5,19.0,Female,1.0,5.0,2.142857142857143,Low,1.0,7.857142857142858,Normal
6,35.0,Male,1.0,2.0,1.2857142857142856,Low,3.0,10.714285714285715,High
7,38.0,Female,1.0,3.0,1.5714285714285714,Low,3.0,10.428571428571429,High
8,67.0,Male,3.0,8.0,4.428571428571429,High,3.0,7.571428571428571,Normal
9,66.0,Female,3.0,7.0,4.142857142857142,High,1.0,5.857142857142858,Low
10,8.0,Male,4.0,4.0,4.0,High,2.0,7.0,Normal
11,37.0,Female,3.0,6.0,3.8571428571428568,High,1.0,6.142857142857143,Normal
12,56.0,Male,3.0,2.0,2.7142857142857144,High,1.0,7.285714285714286,Normal
13,38.0,Male,4.0,6.0,4.571428571428571,High,3.0,7.428571428571429,Normal
14,23.0,Female,3.0,10.0,5.0,High,1.0,5.0,Low
15,59.0,Male,3.0,10.0,5.0,High,3.0,7.0,Normal
16,6.0,Female,1.0,3.0,1.5714285714285714,Low,3.0,10.428571428571429,High
17,26.0,Female,2.0,2.0,2.0,Low,2.0,9.0,Normal
18,59.0,Male,2.0,8.0,3.7142857142857144,High,1.0,6.285714285714286,Normal
19,65.0,Male,4.0,5.0,4.285714285714286,High,2.0,6.714285714285714,Normal
20,60.0,Male,2.0,5.0,2.8571428571428568,High,2.0,8.142857142857142,Normal
21,66.0,Male,4.0,4.0,4.0,High,3.0,8.0,Normal
22,19.0,Female,3.0,9.0,4.7142857142857135,High,3.0,7.2857142857142865,Normal
23,18.0,Female,3.0,3.0,3.0,High,2.0,8.0,Normal
24,7.0,Male,1.0,4.0,1.8571428571428572,Low,1.0,8.142857142857142,Normal
25,40.0,Male,3.0,5.0,3.571428571428571,High,1.0,6.428571428571429,Normal
26,39.0,Female,4.0,4.0,4.0,High,3.0,8.0,Normal
27,70.0,Female,3.0,4.0,3.2857142857142856,High,1.0,6.714285714285714,Normal
28,22.0,Male,1.0,7.0,2.7142857142857144,High,1.0,7.285714285714286,Normal
29,44.0,Male,1.0,3.0,1.5714285714285714,Low,2.0,9.428571428571429,Normal
30,29.0,Male,4.0,9.0,5.428571428571429,High,2.0,5.571428571428571,Low
31,12.0,Male,3.0,8.0,4.428571428571429,High,2.0,6.571428571428571,Normal
32,6.0,Male,2.0,9.0,4.0,High,1.0,6.0,Normal
33,51.0,Male,3.0,3.0,3.0,High,1.0,7.0,Normal
34,31.0,Female,3.0,8.0,4.428571428571429,High,3.0,7.571428571428571,Normal
35,41.0,Female,1.0,8.0,3.0,High,3.0,9.0,Normal
36,33.0,Male,3.0,7.0,4.142857142857142,High,3.0,7.857142857142858,Normal
37,55.0,Male,3.0,5.0,3.571428571428571,High,3.0,8.428571428571429,Normal
38,7.0,Female,4.0,3.0,3.7142857142857144,High,1.0,6.285714285714286,Normal
39,60.0,Male,2.0,6.0,3.142857142857143,High,2.0,7.857142857142858,Normal
40,23.0,Male,3.0,10.0,5.0,High,3.0,7.0,Normal
41,8.0,Female,3.0,6.0,3.8571428571428568,High,3.0,8.142857142857142,Normal
42,15.0,Female,4.0,3.0,3.7142857142857144,High,3.0,8.285714285714285,Normal
43,66.0,Female,2.0,10.0,4.285714285714286,High,1.0,5.714285714285714,Low
44,44.0,Male,2.0,2.0,2.0,Low,3.0,10.0,High
45,12.0,Male,2.0,7.0,3.428571428571429,High,1.0,6.571428571428571,Normal
46,25.0,Female,4.0,6.0,4.571428571428571,High,1.0,5.428571428571429,Low
47,28.0,Male,4.0,7.0,4.857142857142858,High,3.0,7.142857142857142,Normal
48,10.0,Female,3.0,5.0,3.571428571428571,High,3.0,8.428571428571429,Normal
49,61.0,Male,4.0,5.0,4.285714285714286,High,1.0,5.714285714285714,Low
50,32.0,Male,3.0,3.0,3.0,High,3.0,9.0,Normal
51,10.0,Female,3.0,4.0,3.2857142857142856,High,1.0,6.714285714285714,Normal
52,41.0,Female,3.0,9.0,4.7142857142857135,High,3.0,7.2857142857142865,Normal
53,45.0,Male,4.0,5.0,4.285714285714286,High,1.0,5.714285714285714,Low
54,22.0,Female,4.0,7.0,4.857142857142858,High,1.0,5.142857142857142,Low
55,28.0,Male,3.0,5.0,3.571428571428571,High,2.0,7.428571428571429,Normal
56,53.0,Female,4.0,9.0,5.428571428571429,High,2.0,5.571428571428571,Low
57,21.0,Male,2.0,10.0,4.285714285714286,High,1.0,5.714285714285714,Low
58,52.0,Male,2.0,6.0,3.142857142857143,High,1.0,6.857142857142858,Normal
59,35.0,Male,4.0,10.0,5.7142857142857135,High,1.0,4.2857142857142865,Low
60,49.0,Female,4.0,10.0,5.7142857142857135,High,1.0,4.2857142857142865,Low
61,57.0,Male,4.0,2.0,3.428571428571429,High,2.0,7.571428571428571,Normal
62,57.0,Male,1.0,9.0,3.2857142857142856,High,2.0,7.714285714285714,Normal
63,52.0,Female,2.0,3.0,2.2857142857142856,Low,1.0,7.714285714285714,Normal
64,33.0,Male,3.0,4.0,3.2857142857142856,High,2.0,7.714285714285714,Normal
65,65.0,Female,2.0,9.0,4.0,High,2.0,7.0,Normal
66,16.0,Male,2.0,4.0,2.571428571428571,High,3.0,9.428571428571429,Normal
67,30.0,Female,1.0,5.0,2.142857142857143,Low,2.0,8.857142857142858,Normal
68,63.0,Male,3.0,4.0,3.2857142857142856,High,2.0,7.714285714285714,Normal
69,13.0,Female,2.0,3.0,2.2857142857142856,Low,1.0,7.714285714285714,Normal
70,55.0,Male,3.0,5.0,3.571428571428571,High,1.0,6.428571428571429,Normal
71,24.0,Male,1.0,8.0,3.0,High,3.0,9.0,Normal
72,39.0,Male,3.0,9.0,4.7142857142857135,High,3.0,7.2857142857142865,Normal
73,22.0,Female,2.0,8.0,3.7142857142857144,High,3.0,8.285714285714285,Normal
74,64.0,Male,1.0,2.0,1.2857142857142856,Low,2.0,9.714285714285715,High
75,13.0,Female,4.0,10.0,5.7142857142857135,High,1.0,4.2857142857142865,Low
76,26.0,Male,1.0,4.0,1.8571428571428572,Low,2.0,9.142857142857142,Normal
77,6.0,Male,3.0,10.0,5.0,High,3.0,7.0,Normal
78,7.0,Female,4.0,5.0,4.285714285714286,High,2.0,6.714285714285714,Normal
79,28.0,Female,3.0,3.0,3.0,High,1.0,7.0,Normal
80,13.0,Female,2.0,8.0,3.7142857142857144,High,2.0,7.285714285714286,Normal
81,20.0,Male,2.0,7.0,3.428571428571429,High,3.0,8.571428571428571,Normal
82,27.0,Female,2.0,8.0,3.7142857142857144,High,1.0,6.285714285714286,Normal
83,19.0,Male,1.0,6.0,2.4285714285714284,Low,1.0,7.571428571428571,Normal
84,52.0,Female,2.0,6.0,3.142857142857143,High,1.0,6.857142857142858,Normal
85,43.0,Female,4.0,10.0,5.7142857142857135,High,3.0,6.2857142857142865,Normal
86,47.0,Male,2.0,6.0,3.142857142857143,High,1.0,6.857142857142858,Normal
87,48.0,Male,3.0,3.0,3.0,High,1.0,7.0,Normal
88,31.0,Female,3.0,7.0,4.142857142857142,High,1.0,5.857142857142858,Low
89,54.0,Female,4.0,3.0,3.7142857142857144,High,2.0,7.285714285714286,Normal
90,54.0,Female,1.0,4.0,1.8571428571428572,Low,3.0,10.142857142857142,High
91,63.0,Male,2.0,4.0,2.571428571428571,High,3.0,9.428571428571429,Normal
92,33.0,Male,2.0,5.0,2.8571428571428568,High,2.0,8.142857142857142,Normal
